epsforward, epsback, muforward, muback2.8546-0.014669i,2.8676-0.089835i,0.97739-0.0092666i,1.003+0.028433i
2.8458+0.016582i,2.8869-0.10385i,0.98586-0.013763i,1.0109+0.031829i
2.8446+0.017722i,2.8807-0.11339i,0.98577-0.017756i,1.0105+0.028746i
2.849+0.01696i,2.8807-0.10738i,0.9847-0.015998i,1.0117+0.028214i
2.8453+0.016772i,2.8878-0.10736i,0.98606-0.01386i,1.0099+0.031638i
2.8476+0.015284i,2.879-0.11238i,0.98388-0.017024i,1.0089+0.027461i
2.8499+0.014092i,2.8847-0.10662i,0.9838-0.014551i,1.0095+0.028727i
2.8448+0.016641i,2.8884-0.11269i,0.98576-0.014727i,1.0076+0.031823i
2.8473+0.011877i,2.8824-0.10936i,0.98339-0.014841i,1.0062+0.028925i
2.8459+0.013021i,2.8858-0.10693i,0.98498-0.014047i,1.0079+0.02955i
2.8437+0.019293i,2.8844-0.11433i,0.9867-0.017164i,1.0091+0.030209i
2.845+0.016757i,2.8867-0.10696i,0.9852-0.014739i,1.008+0.030843i
2.843+0.017389i,2.8863-0.11217i,0.98595-0.016567i,1.0079+0.029223i
2.8452+0.022456i,2.8818-0.11334i,0.98623-0.018941i,1.0106+0.028342i
2.843+0.022256i,2.8903-0.10525i,0.98638-0.015037i,1.0089+0.032204i
2.8412+0.020825i,2.8844-0.11503i,0.98618-0.018442i,1.0076+0.028666i
2.8459+0.022772i,2.8803-0.11164i,0.98524-0.019051i,1.0113+0.026786i
2.8423+0.027156i,2.8909-0.10989i,0.98736-0.016424i,1.0104+0.032195i
2.8418+0.020605i,2.8814-0.11493i,0.98511-0.017926i,1.0069+0.028651i
2.8453+0.017286i,2.8826-0.10806i,0.98412-0.016501i,1.0081+0.027123i
2.8431+0.023671i,2.8859-0.11691i,0.98628-0.017801i,1.0087+0.0293i
2.8449+0.018021i,2.8829-0.11287i,0.98375-0.01611i,1.0059+0.028931i
2.8433+0.013373i,2.8846-0.10914i,0.98336-0.014679i,1.0047+0.027757i
2.8449+0.018095i,2.88-0.11842i,0.98449-0.017969i,1.0065+0.026432i
2.845+0.017766i,2.8851-0.11103i,0.9843-0.015116i,1.0063+0.02905i
2.8407+0.016122i,2.8856-0.11374i,0.98459-0.015172i,1.0044+0.028936i
2.8445+0.017335i,2.8776-0.11806i,0.98402-0.018524i,1.0063+0.025359i
2.8434+0.02352i,2.8881-0.10972i,0.98657-0.015693i,1.0086+0.030174i
2.8383+0.023631i,2.8856-0.11875i,0.98668-0.017743i,1.0061+0.029926i
2.8432+0.01877i,2.8793-0.11523i,0.9843-0.018014i,1.0068+0.026347i
2.8407+0.025904i,2.8899-0.11553i,0.98737-0.017291i,1.0088+0.030316i
2.8385+0.027005i,2.8854-0.12016i,0.98724-0.018946i,1.0073+0.03022i
2.8401+0.020215i,2.8856-0.11138i,0.98504-0.016624i,1.0056+0.028493i
2.8396+0.024696i,2.8868-0.1188i,0.98707-0.018473i,1.0067+0.028505i
2.8403+0.025958i,2.8844-0.11758i,0.98663-0.018718i,1.007+0.028887i
2.8376+0.022356i,2.8889-0.10924i,0.98581-0.015238i,1.0046+0.030278i
2.8389+0.020978i,2.8823-0.12107i,0.98505-0.018666i,1.0035+0.02689i
2.8417+0.022063i,2.8857-0.11526i,0.98517-0.017905i,1.0055+0.028088i
2.8367+0.024926i,2.8896-0.11529i,0.98649-0.016812i,1.0043+0.029906i
2.8396+0.01921i,2.8775-0.12036i,0.98398-0.01889i,1.0033+0.025409i
2.84+0.021227i,2.8842-0.11551i,0.98515-0.01771i,1.0054+0.026907i
2.8372+0.027007i,2.8853-0.1241i,0.9866-0.019666i,1.0055+0.028436i
2.8406+0.020191i,2.8775-0.12026i,0.98394-0.018919i,1.0047+0.025657i
2.8392+0.022631i,2.8832-0.11864i,0.98571-0.018232i,1.0057+0.026704i
2.8389+0.027327i,2.8802-0.12696i,0.98615-0.020674i,1.0064+0.027338i
2.8399+0.022647i,2.8825-0.11944i,0.98506-0.018171i,1.0056+0.027645i
2.8367+0.023712i,2.883-0.12412i,0.98607-0.01863i,1.0047+0.027627i
2.8385+0.025116i,2.8796-0.12486i,0.98596-0.019949i,1.0054+0.027303i
2.8358+0.026579i,2.8884-0.1161i,0.98722-0.01734i,1.0049+0.029519i
2.8343+0.025637i,2.882-0.12597i,0.98662-0.019563i,1.0035+0.027887i
2.837+0.023354i,2.8822-0.12094i,0.98578-0.018881i,1.0043+0.0276i
2.8329+0.029103i,2.8917-0.11953i,0.98776-0.018084i,1.0036+0.030317i
2.8344+0.026908i,2.8827-0.12498i,0.98625-0.020086i,1.0027+0.027977i
2.8349+0.025371i,2.8862-0.11673i,0.98628-0.018604i,1.0033+0.027554i
2.8338+0.031477i,2.889-0.1238i,0.98744-0.019886i,1.003+0.028965i
2.837+0.026309i,2.8816-0.1234i,0.98504-0.02006i,1.0027+0.027016i
2.8362+0.027845i,2.8867-0.12092i,0.98613-0.019214i,1.0035+0.027339i
2.8357+0.031262i,2.8828-0.12875i,0.98643-0.021387i,1.0038+0.027232i
2.8367+0.027323i,2.8825-0.12113i,0.98535-0.019403i,1.0035+0.027009i
2.8355+0.028316i,2.8828-0.12497i,0.98595-0.01996i,1.0031+0.026325i
2.8375+0.026735i,2.8763-0.12921i,0.9851-0.020988i,1.0034+0.025596i
2.8345+0.026701i,2.8835-0.11991i,0.98617-0.018087i,1.0028+0.027697i
2.8337+0.027455i,2.879-0.12858i,0.98614-0.019709i,1.002+0.026769i
2.8364+0.025008i,2.8754-0.12697i,0.98519-0.020295i,1.0034+0.025517i
2.8327+0.030772i,2.8872-0.12072i,0.98777-0.018228i,1.0027+0.028937i
2.8321+0.026667i,2.8782-0.12937i,0.9862-0.019544i,1.0009+0.027428i
2.8337+0.024852i,2.8798-0.12519i,0.98591-0.019421i,1.0028+0.026784i
2.8331+0.034373i,2.8874-0.13042i,0.9885-0.020602i,1.0036+0.028932i
2.8329+0.029475i,2.882-0.12718i,0.98685-0.019744i,1.0017+0.028375i
2.8302+0.030064i,2.8874-0.12432i,0.98725-0.019439i,1.0015+0.028458i
2.8345+0.036296i,2.8854-0.13633i,0.9875-0.022703i,1.0034+0.028408i
