8.2,1.649,0.039314
8.375,1.6509,0.039532
8.55,1.6538,0.03998
8.725,1.6563,0.040364
8.9,1.6576,0.040647
9.075,1.6572,0.040796
9.25,1.6551,0.040817
9.425,1.652,0.040758
9.6,1.6486,0.040654
9.775,1.6457,0.040527
9.95,1.6442,0.040407
10.125,1.6442,0.040348
10.3,1.6456,0.040311
10.475,1.6478,0.040535
10.65,1.6502,0.040631
10.825,1.6519,0.040735
11,1.6526,0.040767
11.175,1.6522,0.04071
11.35,1.651,0.040586
11.525,1.6497,0.040444
11.7,1.6491,0.040321
11.875,1.6497,0.040274
12.05,1.6521,0.040355
12.225,1.6564,0.040606
12.4,1.6628,0.041054
