7,0.92062
7.03,0.90796
7.06,NaN
7.09,1.738
7.12,1.7389
7.15,1.7398
7.18,1.7414
7.21,1.7402
7.24,1.7415
7.27,1.7411
7.3,1.742
7.33,1.7427
7.36,1.7435
7.39,1.7441
7.42,1.7445
7.45,1.7443
7.48,1.7454
7.51,1.745
7.54,1.746
7.57,1.7466
7.6,1.7467
7.63,1.7483
7.66,1.7478
7.69,1.7485
7.72,1.7487
7.75,1.7488
7.78,1.7494
7.81,1.7504
7.84,1.7505
7.87,1.7518
7.9,1.7517
7.93,1.7517
7.96,1.7525
7.99,1.7521
8.02,1.7529
8.05,1.7532
8.08,1.754
8.11,1.7542
8.14,1.7553
8.17,1.7549
8.2,1.7552
8.23,1.7558
8.26,1.7554
8.29,1.7564
8.32,1.7564
8.35,1.7573
8.38,1.7575
8.41,1.7577
8.44,1.758
8.47,1.758
8.5,1.7583
8.53,1.7583
8.56,1.7591
8.59,1.7585
8.62,1.7597
8.65,1.7595
8.68,1.7591
8.71,1.7601
8.74,1.759
8.77,1.7593
8.8,1.7596
8.83,1.7596
8.86,1.7594
8.89,1.7604
8.92,1.7597
8.95,1.759
8.98,1.7603
9.01,1.7586
9.04,1.7589
9.07,1.7597
9.1,1.7587
9.13,1.7588
9.16,1.7596
9.19,1.7585
9.22,1.758
9.25,1.7592
9.28,1.7576
9.31,1.7571
9.34,1.7583
9.37,1.7564
9.4,1.7562
9.43,1.7571
9.46,1.7558
9.49,1.7556
9.52,1.7563
9.55,1.755
9.58,1.7544
9.61,1.755
9.64,1.7538
9.67,1.7534
9.7,1.754
9.73,1.7527
9.76,1.7525
9.79,1.753
9.82,1.7521
9.85,1.7519
9.88,1.752
9.91,1.7514
9.94,1.7509
9.97,1.7509
10,1.7502
10.03,1.7498
10.06,1.7505
10.09,1.7495
10.12,1.749
10.15,1.7493
10.18,1.7485
10.21,1.7484
10.24,1.7482
10.27,1.7478
10.3,1.7478
10.33,1.748
10.36,1.7476
10.39,1.7472
10.42,1.7475
10.45,1.7465
10.48,1.7464
10.51,1.7463
10.54,1.7456
10.57,1.7465
10.6,1.7465
10.63,1.7461
10.66,1.7465
10.69,1.7468
10.72,1.746
10.75,1.7457
10.78,1.7461
10.81,1.7447
10.84,1.7452
10.87,1.7456
10.9,1.7447
10.93,1.7457
10.96,1.746
10.99,1.7455
11.02,1.7454
11.05,1.746
11.08,1.7452
11.11,1.7448
11.14,1.7459
11.17,1.745
11.2,1.7453
11.23,1.7464
11.26,1.7458
11.29,1.7462
11.32,1.7467
11.35,1.7466
11.38,1.7459
11.41,1.7466
11.44,1.7467
11.47,1.7458
11.5,1.7471
11.53,1.7467
11.56,1.7469
11.59,1.7479
11.62,1.7479
11.65,1.7478
11.68,1.7482
11.71,1.7486
11.74,1.7483
11.77,1.7485
11.8,1.7489
11.83,1.7485
11.86,1.7495
11.89,1.7495
11.92,1.7497
11.95,1.7506
11.98,1.7504
12.01,1.7506
12.04,1.7508
12.07,1.7512
12.1,1.7505
12.13,1.7506
12.16,1.7507
12.19,1.7503
12.22,1.7514
12.25,1.7514
12.28,1.7513
12.31,1.7525
12.34,1.7526
12.37,1.7525
12.4,1.7529
12.43,1.7537
12.46,1.7531
12.49,1.7533
12.52,1.7544
12.55,1.7534
12.58,1.754
12.61,1.7551
12.64,1.7541
12.67,1.7551
12.7,1.7561
12.73,1.7561
12.76,1.7561
12.79,1.7567
12.82,1.7565
12.85,1.7556
12.88,1.7571
12.91,1.7566
12.94,1.7562
12.97,1.7576
13,1.7576
